year_month,n_stocks,n_hold,avg_monthly_ur,demand_elasticity
199902,69,69,8.650906151777614e-05,406.5494045832501
199903,79,79,7.460482030329365e-05,471.2604770973625
199904,85,85,6.880672828957256e-05,510.8876121814775
199905,88,88,6.63914657482949e-05,529.4368705248974
199906,90,90,6.679853304011607e-05,526.2165997196413
199907,92,92,6.983974689277912e-05,503.345726473663
199908,94,94,7.01593532913815e-05,501.05732298988585
199909,97,97,7.003257104354238e-05,501.96259307368234
199910,100,100,6.308391966443031e-05,557.1432862164352
199911,100,100,6.287146675054943e-05,559.0225848521862
199912,101,101,6.271721147440887e-05,560.395061814976
200001,100,100,6.348246048908392e-05,553.6518367324887
200002,102,102,6.527568412355902e-05,538.4696391259669
200003,101,101,6.781066013226694e-05,518.3773315457769
200004,104,104,6.774741762318035e-05,518.8603055356266
200005,104,104,6.971120550302914e-05,504.27200822922777
200006,105,105,6.809426647645203e-05,516.2225026423085
200007,112,112,6.553188609688747e-05,536.3683600334558
200008,111,111,6.572168516281403e-05,534.8222582497103
200009,110,110,6.557630531022806e-05,536.0057192703383
200010,110,110,6.466403479194664e-05,543.553499831397
200011,117,117,6.17471018321579e-05,569.1837260144616
200012,116,116,6.127544071042421e-05,573.5572592025669
200101,117,117,6.117395997146287e-05,574.5070674835521
200102,122,122,5.8971727223148916e-05,595.9240431238043
200103,122,122,5.921204404080422e-05,593.5094963013433
200104,122,122,5.875622194074082e-05,598.1060975461269
200105,126,126,5.6269879190255185e-05,624.4898474007327
200106,133,133,5.4038114766742286e-05,650.239865991441
200107,138,138,4.682975927913239e-05,750.1752878862943
200108,150,150,4.209877262601556e-05,834.3663002780604
200109,157,157,3.984174344512291e-05,881.5763843621287
200110,163,163,3.622555694484875e-05,969.4791994503413
200111,171,171,3.314520155555549e-05,1059.4849915842333
200112,173,173,3.202428981843375e-05,1096.5340021122051
200201,175,175,3.07292028178658e-05,1142.705451896474
200202,176,176,3.0456828193284702e-05,1152.9156941406436
200203,181,181,2.9289224948739158e-05,1198.8363528223083
200204,186,186,2.7854880409724228e-05,1260.517107003699
200205,195,195,2.5552942836846602e-05,1373.9807409501263
200206,203,203,2.3536244065170234e-05,1491.6243448379246
200207,218,218,2.204203558848669e-05,1592.6723411841003
200208,225,225,2.1138327990198084e-05,1660.7196526545667
200209,231,231,2.0153589401413135e-05,1741.8163722502882
200210,234,234,1.974724083243953e-05,1777.637996532486
200211,234,234,1.9417527834793137e-05,1807.8056185157327
200212,239,239,1.869624847485382e-05,1877.510062260722
200301,246,246,1.7896941418432504e-05,1961.3181107502703
200302,250,250,1.75276428969413e-05,2002.6210163496787
200303,252,252,1.7157797866304938e-05,2045.7669720185024
200304,254,254,1.655415604645691e-05,2120.3287227166647
200305,258,258,1.5970707141345867e-05,2197.752972744908
200306,265,265,1.5236721863012719e-05,2303.575232718257
200307,273,273,1.4247945198389012e-05,2463.368987322938
200308,282,282,1.3607538518225032e-05,2579.254571361389
200309,284,284,1.3149099220402177e-05,2669.144623561279
200310,286,286,1.273224813082036e-05,2756.4991097498637
200311,296,296,1.2433600626649946e-05,2822.684517869436
200312,298,298,1.2315546262175237e-05,2849.7326215762355
200401,305,305,1.2818929760035333e-05,2737.8664191427138
200402,307,307,1.27036236606902e-05,2762.7079446514194
200403,313,313,1.2635262541767914e-05,2777.6497351056223
200404,315,315,1.2227601767240594e-05,2870.22154134786
200405,319,319,1.2139424435794076e-05,2891.062751751454
200406,318,318,1.1517849553928344e-05,3047.0285338267877
200407,323,323,1.077432084910616e-05,3257.2329339301627
200408,327,327,1.039355229371991e-05,3376.525267794003
200409,332,332,9.93215881406367e-06,3533.333609075229
200410,331,331,9.896335681763508e-06,3546.1200846228794
200411,336,336,9.82487516400034e-06,3571.905258739698
200412,340,340,9.6709544151869e-06,3628.7389886664923
200501,342,342,9.450292503369449e-06,3713.4457657877756
200502,345,345,8.979122221812449e-06,3908.252571344126
200503,345,345,8.425059511530576e-06,4165.207782933065
200504,344,344,8.00334409300684e-06,4384.629890441084
200505,347,347,8.030538998504564e-06,4369.785008842259
200506,349,349,8.243195352427948e-06,4257.079941045717
200507,354,354,8.100472442821396e-06,4332.0681737681725
200508,370,370,7.95523318754517e-06,4411.140791915116
200509,372,372,7.938428620889203e-06,4420.476456243561
200510,378,378,7.880453094804225e-06,4452.9900020369905
200511,384,384,7.784303892614432e-06,4507.979541597351
200512,387,387,7.695778815613085e-06,4559.8236395792155
200601,408,408,7.384819680192834e-06,4751.7860596365645
200602,412,412,7.346896222901238e-06,4776.308827723657
200603,420,420,7.296814466933621e-06,4809.084205590783
200604,419,419,7.355910088430678e-06,4770.457207581868
200605,427,427,8.002743559290673e-06,4384.958842322261
200606,435,435,8.32472547427856e-06,4215.39703903633
200607,443,443,8.328322254121915e-06,4213.576953566607
200608,449,449,8.460178450004514e-06,4147.92179330699
200609,453,453,8.407054567807524e-06,4174.126046300821
