year_month,n_stocks,n_hold,avg_monthly_ur,demand_elasticity
199904,85,10,0.0013489609434206306,27.007942306043574
199905,88,10,0.001345455189216107,27.075709299564586
199906,90,11,0.001288322169921304,28.23208465141365
199907,92,10,0.001547010011356366,23.678391304546032
199908,94,11,0.0014132444972259173,25.82493189144291
199909,97,10,0.001439133472069855,25.37834924312491
199910,100,11,0.0013287859523312385,27.402821559061938
199911,100,11,0.0012757154557815394,28.501194118634082
199912,101,11,0.0012774403893621852,28.46405913085843
200001,100,10,0.001348725950938144,27.01247374619464
200002,102,11,0.001238377952641739,29.33036417900403
200003,101,11,0.0013492180980920043,27.00298531364459
200004,104,13,0.0012505997657756575,29.053498289142862
200005,104,12,0.0014002192987537998,26.05585976483433
200006,105,13,0.0012641700771017757,28.752356288975314
200007,112,14,0.0012393969839979801,29.307070972868406
200008,111,12,0.0014445488489056232,25.286958808052045
200009,110,13,0.0013438909043567793,27.106061344601354
200010,110,13,0.001235819799860656,29.389008165709683
200011,117,13,0.0013198807077474443,27.58096158513065
200012,116,11,0.0013311630706147196,27.355672842838498
200101,117,11,0.001377435170090388,26.470308259435296
200102,122,11,0.0013897779689746395,26.24410313934835
200103,122,11,0.0014285467507469307,25.559013116823785
200105,126,10,0.001458796451209408,25.04975578361457
200107,138,11,0.0013357867834256998,27.264444913592996
200108,150,11,0.0013467823861400183,27.050012793932094
200109,157,11,0.0012891579916186747,28.214428811427965
200110,163,10,0.0017160817644636221,21.444071556552913
200111,171,11,0.001859023158688007,19.872114758564898
200112,173,11,0.0018505009764332345,19.959027223650686
200201,175,12,0.001729887474544289,21.2809135888056
200202,176,13,0.0014904072857913318,24.53967182263349
200203,181,15,0.0013733642658603949,26.545806936814678
200204,186,12,0.0016077858718057325,22.821126186528033
200205,195,14,0.0013686202139808854,26.634356435188426
200206,203,15,0.0012805521267028723,28.397321559976117
200207,218,12,0.0015586117642574073,23.509581407083324
200208,225,16,0.0011215826655252374,32.280528371183564
200209,231,15,0.001224993192210053,29.639912950286806
200210,234,14,0.0013276163583805808,27.426081727694868
200211,234,12,0.0015548808571876226,23.563592719925314
200212,239,12,0.001496099311584397,24.450113316632425
