year_month,n_stocks_available,n_hold_total,avg_monthly_ur_total,demand_elasticity_total,n_ind_A,ur_ind_A,elas_ind_A,n_ind_C,ur_ind_C,elas_ind_C,n_ind_E,ur_ind_E,elas_ind_E,n_ind_I,ur_ind_I,elas_ind_I,n_ind_K,ur_ind_K,elas_ind_K,n_ind_L,ur_ind_L,elas_ind_L,n_ind_F,ur_ind_F,elas_ind_F,n_ind_J,ur_ind_J,elas_ind_J,n_ind_R,ur_ind_R,elas_ind_R,n_ind_D,ur_ind_D,elas_ind_D,n_ind_G,ur_ind_G,elas_ind_G,n_ind_B,ur_ind_B,elas_ind_B,n_ind_S,ur_ind_S,elas_ind_S,n_ind_N,ur_ind_N,elas_ind_N,n_ind_M,ur_ind_M,elas_ind_M
199902,122,18,0.0012052498823578227,102.07225399293026,1.0,,,11,0.001188647292338379,111.0604790780918,1.0,,,2.0,0.0006646185509191774,102.49228151089021,3.0,0.0017909447436883833,71.73661892455296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199903,139,19,0.001192345563608862,312.38095906260065,1.0,,,11,0.0011639667084983978,476.7857605961741,1.0,,,2.0,0.0006565422146249044,114.58564384189236,3.0,0.0017482349503956764,78.14506799813216,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199904,150,16,0.0012865383098436282,67.69565009019581,1.0,,,9,0.0012840159860007985,64.45261223603171,1.0,,,2.0,0.0008432302758950065,95.0128193329425,2.0,0.0020039037836030995,28.012405052927967,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199905,157,17,0.0012750488251522267,161.74317158617586,1.0,,,9,0.0011860378880164757,244.23021190904305,1.0,,,2.0,0.0007176986621690622,108.70279646386027,2.0,0.0018622409047167384,33.6091077574129,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
199906,163,21,0.0009512023471299111,301.10916653650304,,,,11,0.000987617827141389,194.6428560451852,1.0,,,2.0,0.000851778290691529,152.70281404428076,3.0,0.0011221951715406988,97.02250638390156,1.0,,,3.0,0.0008371654495815954,1146.2459758352813,,,,,,,,,,,,,,,,,,,,,,,,
199907,164,14,0.0009440459674905954,235.0154890960805,,,,9,0.0012004158387830918,63.94522284832627,,,,2.0,0.0002786102982995901,1204.8629868154906,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
199908,164,14,0.000965214588914047,112.94663343349146,,,,9,0.0012422704660950722,66.33667810771051,,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
199909,168,15,0.0008387284463070034,104.09529369651385,,,,9,0.001152102062773267,64.41298967884333,,,,2.0,0.00033342815668284463,196.13543725934102,2.0,0.00044910106955272906,136.00139640941833,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
199910,169,15,0.000843016641957104,306.67504548237025,,,,9,0.0011960955628207985,91.95194757878672,,,,2.0,0.00025344107404640445,1432.7174137891182,2.0,0.00041076751641962834,193.616883942622,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
199911,169,14,0.0009208001299968687,155.45017540503403,,,,8,0.0013526972404715996,35.49456367999025,,,,2.0,0.0002457509315627762,519.5258865461401,2.0,0.0005011838139251998,171.31479883117987,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
199912,169,15,0.0008567593303755238,230.51765119069887,,,,8,0.001352786498865089,38.8176367219549,,,,2.0,0.00024191985694621668,503.122900868997,2.0,0.00045323127122321377,194.20865827749446,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
200001,169,14,0.0009272999167146926,140.17277366471427,,,,8,0.0014048757630236836,38.86150526009219,,,,1.0,,,2.0,0.0003732670871238263,358.04765633230164,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
200003,173,13,0.001267730006602035,104.92104881688266,,,,8,0.0017680740170268057,44.34570374190941,,,,1.0,,,2.0,0.0005995132873215628,324.16465770989913,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
200004,173,18,0.0009755875594765228,130.08942891213687,,,,10,0.0013296748165406358,95.3550097769133,,,,3.0,0.00036403982481662627,201.26917176273574,2.0,0.0013115887240042544,45.13470802779759,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
200005,174,18,0.000986063543637832,164.89745459348765,,,,10,0.0013746724330594418,148.30133861454715,,,,2.0,0.00037709991686281065,158.02506132012638,2.0,0.0012599508571857758,46.515475062312696,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
200006,174,20,0.0008586052203031233,303.29891947131625,,,,10,0.0012372620265435428,55.47165961381813,,,,2.0,0.00026696517623593413,263.5621113164754,2.0,0.0013509083860968887,64.7628260214588,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
200007,175,16,0.0010641763771723567,85.98053895817382,,,,9,0.0014015626179233317,40.16825890814356,,,,2.0,0.00038210756915960336,168.56621483088247,2.0,0.001360008438630812,55.060142625546526,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
200008,175,19,0.0008702327771424597,237.38772301974825,,,,9,0.001345228651913459,103.26212585927853,,,,2.0,0.00035434553078925516,198.3747174243665,3.0,0.0009178477945958127,159.6247345767955,1.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
200009,175,18,0.0009159211881566281,162.57200370532883,,,,8,0.0014694041010791103,40.83596815719173,,,,2.0,0.00044612231591612277,135.82119955111102,3.0,0.0008698431417268716,140.53753535008536,1.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
200010,175,17,0.0010118510123317988,86.04362587600818,,,,7,0.0016385840010551226,32.10200545174904,,,,2.0,0.0005147162443122878,116.50925443242761,3.0,0.0009912498711888323,73.1058827858369,1.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
200011,179,17,0.0010133356474900962,225.80224717743957,,,,7,0.0016378789866160828,30.85123779752777,,,,2.0,0.0005297257737573763,113.65542725650116,3.0,0.001008616012849463,64.54798480070737,1.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
200012,182,16,0.001047765540787152,445.38867108933243,,,,7,0.001735715952118491,27.57520194842819,,,,2.0,0.0005490180948699427,111.24705649733971,3.0,0.0007176481711564665,1703.2498224407261,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
200101,184,15,0.0011299514666260949,202.90007312740994,,,,7,0.0017509293552648768,27.520582508941125,,,,2.0,0.0005798723926919474,107.68144977185759,2.0,0.001003886516063761,145.06844299906905,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
200102,186,15,0.0011542304746807485,108.67961573891243,,,,7,0.0018005226875238481,23.794913238220943,,,,2.0,0.0006326397050793157,118.56522305775181,2.0,0.000904484211160625,104.02488190893624,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
200103,188,15,0.0011190792369326324,164.64831469205575,,,,7,0.0017516864296054978,25.354715187146986,,,,2.0,0.0005747030842021927,115.04432294503465,2.0,0.000944499158405981,80.81276370335537,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
200104,194,15,0.0011249860220494748,156.79225746623928,,,,7,0.001755210245540883,25.355000138180106,,,,2.0,0.0005814090762813454,111.16083096395941,2.0,0.000964250620488096,77.34893193884332,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
200105,198,14,0.0012361496851966615,103.2835005654561,,,,7,0.0015962963611776393,28.468349709767292,,,,2.0,0.0004766584309788793,254.5899243184692,2.0,0.001482149437631197,37.21489206763078,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
200106,207,14,0.0013057730653100138,79.31411267118871,,,,6,0.0016708793976018589,26.76174881772896,,,,1.0,,,2.0,0.001727514194685659,31.203883143175307,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
200107,216,15,0.00114008577576504,144.52682753021588,,,,8,0.001429631747252642,36.65901215242857,1.0,,,1.0,,,2.0,0.0007102193312746184,173.5397606302127,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
200108,232,15,0.0011377978117007423,129.4194169229299,,,,8,0.0014299739679245144,35.69819102579653,1.0,,,1.0,,,2.0,0.0007427973961349641,107.94684237992617,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
200109,243,13,0.0013069970234576111,128.0880086409142,,,,7,0.001660554137865803,25.87338047406086,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
200110,253,14,0.0013358619195179707,72.42930942215878,,,,7,0.0015204309451338355,36.70652537056435,,,,1.0,,,1.0,,,,,,2.0,0.0010753233901233622,233.83730021670007,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
200111,264,14,0.0014103763935854215,45.751180860783585,,,,7,0.0017271258021918086,30.018795471822862,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,2.0,0.0008054210778719471,6.672059304401245,,,,,,,,,
200112,277,15,0.0013022858168860554,87.27553019960548,,,,7,0.0016593636087530537,37.465654615744896,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,2.0,0.0009634091740303424,8.640874448749036,1.0,,,,,,,,
200201,286,15,0.0013433500185004521,113.48446233401486,,,,7,0.0016144180251702403,81.2195942967938,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,
200202,290,16,0.0012225813211152656,77.52808171979618,,,,7,0.001451332040487027,71.76435392950101,,,,,,,2.0,0.0007669079092323906,70.04909462210182,,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,
200203,293,16,0.0012075723489894303,55.24361068759884,,,,7,0.0014694955735339,44.23985809664405,,,,,,,2.0,0.0004533134110478711,119.3530708934436,,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,
200204,295,16,0.001193759659571058,72.76136289671453,,,,8,0.0011576601847681687,33.72405394664992,,,,,,,2.0,0.0004432449372515231,314.6331542867342,,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
200205,304,17,0.0010942296950391787,182.1809866455704,,,,8,0.0011323586960154653,41.109446342328276,1.0,,,,,,1.0,,,,,,2.0,0.001749121526875444,721.7197087453274,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
200206,320,16,0.0011368088950429863,83.77160911726462,,,,8,0.0010927447147583938,53.280587597539636,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
200207,342,18,0.0010109068520703086,85.24905607437076,,,,8,0.0010049114602484898,93.45447159021711,1.0,,,,,,1.0,,,,,,2.0,0.0018986600682505909,76.37670714230424,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,
200208,352,18,0.0009885019678734612,120.49284678705236,,,,6,0.0010444975132710666,128.51800457129357,1.0,,,,,,2.0,0.0002091745040654109,255.0722846982074,,,,2.0,0.0019754972617931363,84.60069335213943,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,
200209,356,19,0.0008904554230361883,297.2772059793541,,,,9,0.0008875074488072512,264.4387228152982,1.0,,,,,,2.0,0.0002459904001321396,267.9813752296093,,,,2.0,0.0021254088074514413,52.178995909431606,1.0,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,
200210,359,17,0.0009917746808301422,200.5250207557022,,,,8,0.000951928409968658,305.90780717104985,1.0,,,,,,2.0,0.00020592469852082328,266.827062519277,,,,2.0,0.002170487007121915,49.70453268406845,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,
200211,363,19,0.0008489439417539926,238.92695153044139,,,,8,0.000924423795324971,58.293981209105276,1.0,,,,,,3.0,7.12636567697744e-05,1040.5215129039805,,,,2.0,0.0019343633768951055,60.43649980533699,1.0,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,
200212,368,17,0.0009326531422271596,148.51517901396375,,,,6,0.001159818263448064,39.33239546961405,1.0,,,,,,2.0,0.0002247546709531614,484.35983649854376,,,,2.0,0.001961579277827503,61.397484448640625,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,
200301,370,20,0.0008534208556101056,221.84801083211937,,,,9,0.0007979129104032913,181.7810996487542,1.0,,,,,,4.0,0.0002952846235595206,588.0281941761414,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,
200302,374,17,0.0010032946489070028,73.35699879989053,,,,7,0.0009377336572630779,43.59865661610458,1.0,,,,,,4.0,0.0004463287619395788,155.02680702643906,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,
200303,377,17,0.0009773085983090213,82.23905859333314,,,,7,0.0008468213367854894,53.29856053175541,1.0,,,,,,4.0,0.00041115342438960575,196.83723076656685,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,
200304,380,17,0.0009668684673620941,1067.7383836721724,,,,7,0.000875018176969458,424.26504558988324,1.0,,,,,,4.0,0.0007534556414741512,238.71090189291291,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,
200305,385,14,0.0011527248167156096,591.1334209223836,,,,9,0.0014923450120849808,758.6406651017126,,,,,,,2.0,0.0005520406489724689,485.41255950769494,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
200306,392,13,0.0012159573874227696,192.4593805878665,,,,8,0.0016840996161354904,194.3652783166166,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
200308,403,11,0.0014465581924056872,98.78856097862322,,,,7,0.0019888128378739134,33.37636988315378,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
200309,406,12,0.001294086292526438,121.06113993421796,,,,8,0.0018281092929013074,79.08880939425056,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
200310,409,12,0.001319414624162864,133.1455569559612,,,,8,0.0018728958161054702,55.55138115651893,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
200312,417,11,0.0013815542353404083,170.13791894485018,,,,8,0.0017562981903561064,124.59582136628507,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
200401,421,14,0.001016992377919342,175.19606436035602,,,,9,0.0014631034512539477,105.05439344475212,,,,,,,2.0,0.00014954824942994355,356.2670766831328,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
200402,425,14,0.001029211708934773,344.51597491743456,,,,9,0.0014583278244332208,74.09585389547834,,,,,,,2.0,0.00015925606428660702,642.3608994543515,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
