Dependent variable: next-month return,(1),(2),(3),(4),(5),(6),(7),(8)
log_prc,-0.0060***,-0.0346***,-0.0330***,-0.0338***,-0.0343***,-0.0351***,-0.0433***,-0.0431***
,(0.0022),(0.0080),(0.0077),(0.0076),(0.0070),(0.0072),(0.0066),(0.0066)
log_prc_lag,,0.0287***,0.0221***,0.0255***,0.0226***,0.0235***,0.0326***,0.0323***
,,(0.0075),(0.0071),(0.0070),(0.0070),(0.0071),(0.0066),(0.0066)
std_log_vol,,,-0.0079***,-0.0059***,-0.0057***,-0.0056***,-0.0064***,-0.0062***
,,,(0.0009),(0.0010),(0.0009),(0.0009),(0.0011),(0.0011)
std_log_me,,,,-0.0039***,-0.0044***,-0.0042***,-0.0024**,-0.0031***
,,,,(0.0010),(0.0010),(0.0010),(0.0012),(0.0012)
monthly_roa,,,,,1.1089***,1.0944***,0.6746***,0.7135***
,,,,,(0.1463),(0.1516),(0.1045),(0.1063)
monthly_invest_return,,,,,,0.0077,0.0045,0.0034
,,,,,,(0.0135),(0.0035),(0.0035)
asset_growth,,,,,,,0.0018,0.0026
,,,,,,,(0.0047),(0.0049)
monthly_leverage,,,,,,,,-0.0000
,,,,,,,,(0.0000)
Obs,"270,224","270,224","270,224","270,224","253,633","230,459","211,081","202,687"
R2,3.36%,5.03%,7.02%,8.71%,9.42%,10.05%,9.29%,9.33%
